,hotel,puntuacion,precio_total,direccion,cancelacion_gratuita,hora_checkout,dist_coliseo
0,Trevi Elite Rome,8.9,523.36,"Blue Ice, 89-94, Via delle Muratte, Trevi, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",NO,10:00,1.45
1,Nikis Collection Navona,8.9,446.83,"Campo de Fiori Suites, 15, Vicolo de' Chiodaroli, Sant'Eustachio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,10:00,1.62
2,Zefiro Home,9.4,362.24,"177, Via dei Serpenti, Monti, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",NO,10:30,0.48
3,Hotel Romano,8.9,440.56,"Monti, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",NO,10:30,0.52
4,SM Vatican Relais B&B,9.6,583.32,"39, Via Muzio Clementi, Prati, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,10:30,2.5
5,Casa San Giuseppe,8.8,255.88,"Via Iberia, San Giovanni, Municipio Roma VII, Roma, Roma Capitale, Lazio, 00183, Italia",NO,10:00,1.57
6,Rhea Silvia Luxury Navona,9.1,683.34,"11, Corsia Agonale, Parione, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,11:00,1.89
7,Navona Living Rome,8.3,390.91,"3, Via di Tor Sanguigna, Parione, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,10:30,2.01
8,Just Chilling Suite,8.9,265.48,"83, Largo Brancaccio, Monti, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",NO,10:00,0.75
9,Suites Rome,9.4,376.2,"57, Via della Croce, Campo Marzio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,11:00,2.11
10,Guest House Cavour 278,9.5,456.61,"280, Via Cavour, Monti, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",NO,10:00,0.46
11,Black Rooms Colosseo,8.7,364.73,"Via Labicana, Monti, Municipio Roma I, Roma, Roma Capitale, Lazio, 00185, Italia",NO,11:00,0.58
12,Hotel Barrett,8.8,436.76,"Teatro Argentina, Via di Torre Argentina, Pigna, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,11:00,1.51
13,Nikis Collection Trastevere,9.0,428.51,"Vicolo del Bologna, Trastevere, Municipio Roma I, Roma, Roma Capitale, Lazio, 00120, Italia",NO,10:00,1.99
14,Hotel Villa Pamphili Roma,8.7,291.55,"Villa Pamphili, Via della Nocetta, Municipio Roma XII, Roma, Roma Capitale, Lazio, 00164, Italia",NO,11:00,5.13
15,SuiteSistina for Brave Lovers,8.8,490.25,"Borsalino boutique, 58A, Via Sistina, Campo Marzio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",NO,12:00,1.8
16,La Residenza del Sole al Pantheon,8.6,501.68,"Tazza dOro, 84, Via degli Orfani, Colonna, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,10:30,1.66
17,Leonardo Suite Navona,9.5,981.46,"Ra Digital Photo, 19, Via Arenula, Sant'Eustachio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,10:00,1.48
18,Escape Luxury Suite - CA Domus Collection,9.2,438.06,"Galleria Nazionale d'Arte Antica, 13, Via delle Quattro Fontane, Trevi, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",NO,10:00,1.37
19,hu Roma Camping In Town,7.9,86.76,"Camping Village Roma, Via di Villa Troili, Municipio Roma XII, Roma, Roma Capitale, Lazio, 00163, Italia",SI,10:00,7.36
0,Boutique Suites della Croce,8.8,356.45,"56, Via della Croce, Campo Marzio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,11:00,2.12
1,MILLINA SUITES IN NAVONA,8.9,410.31,"Ristorante Biolosophy, 34a, Via di Tor Millina, Parione, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,10:00,2.06
2,Palazzo Navona Hotel,9.0,698.2,"Via del Melone, Sant'Eustachio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",SI,11:00,1.75
3,VATICAN GREEN GARDEN,8.5,212.72,"Via della Balduina, Balduina, Municipio Roma XIV, Roma, Roma Capitale, Lazio, 00136, Italia",NO,11:00,5.21
4,Hotel Lirico,8.2,283.58,"33, Via del Viminale, Castro Pretorio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",SI,11:00,1.11
5,Barberini Dream,9.5,803.79,"23, Via di San Nicola da Tolentino, Trevi, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",NO,11:00,1.61
6,Pantheon - Argentina Luxury,8.7,913.868672566372,"13, Via di Torre Argentina, Pigna, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,10:00,1.56
7,Habito Suites,9.8,271.85,"Valli, 37/39, Via Bergamo, Salario, Municipio Roma II, Roma, Roma Capitale, Lazio, 00198, Italia",NO,10:30,2.43
8,The Britannia Hotel,8.5,330.9,"59, Via Napoli, Castro Pretorio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",NO,11:00,1.17
9,Navona Central Suites,8.8,639.97,"Alfredo Allá, 104, Via della Scrofa, Campo Marzio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,11:00,2.0
10,Top Floor Colosseo Guesthouse,9.5,366.3,"L'antica Cornetteria, 78, Via Labicana, Monti, Municipio Roma I, Roma, Roma Capitale, Lazio, 00185, Italia",NO,10:30,0.61
11,Bramble Luxury Suites,8.7,365.11,"101, Via del Tritone, Colonna, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",NO,10:00,1.54
12,Little Queen Suite,8.3,417.14,"22, Via Florida, Sant'Angelo, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,11:00,1.43
13,Palazzo Nainer,9.3,774.11,"Stravinsky, 9, Via del Babuino, Campo Marzio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",NO,11:00,2.52
14,SM Mellini Relais B&B,9.7,572.9,"Stella d'oro, 3, Via Marianna Dionigi, Prati, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",NO,10:30,2.41
